Dimensão;Documento/Sistema;Acronimo;Descrição;Responsável;Esfera;Link do Sistema;Entrada de Dados;Saída de Dados;Relação com Rede Nacional de Dados de Transporte;
1. Tráfego em Tempo Real;Alerta Brasil;;Sistema de monitoramento de fluxo de veículos nas rodovias federais por meio de câmeras com leitura automática de placas (LPR/OCR), integrando RENAVAM, RENACH e BNMP para detecção de veículos roubados e condutores foragidos.;PRF (Polícia Rodoviária Federal);Federal;https://alertabrasil.prf.gov.br/alertabrasil/;RENAVAM,RENACH,RENAINF,BNMP,câmeras CET-SP,câmeras CTTU-Recife,SINESP,RENAEST,Sistema de Rastreamento Veicular ANTT,InfraBR,Postos de Pesagem DNIT,Free Flow,Sistema de Fiscalização Eletrônica,Sealog;SINESP,RENAEST,Sistema de Rastreamento Veicular ANTT,InfraBR,Google Maps,Waze,TMS,ERP,seguradoras,SENATRAN;"Principal sistema de inteligência viária do país; integra dados de RENAVAM, RENACH e mais de 200 parceiros. Cruzamento com dados de CT-e/MDF-e permitiria identificação automática de cargas em risco de roubo em tempo real.";
1. Tráfego em Tempo Real;SINESP;Sistema Nacional de Informações de Segurança Pública;Maior plataforma tecnológica de segurança pública do Brasil, integrando dados de roubo/furto de veículos, mandados de prisão, desaparecidos, boletins de ocorrência e estatísticas criminais de todos os estados.;Senasp (Secretaria Nacional de Segurança Pública, MJSP);Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/estatistica;Alerta Brasil,RENAEST,SINESP PPE,SINESP VDE,DETRANs estaduais,Polícia Civil estadual,Polícia Federal,Sistema de Rastreamento Veicular ANTT,TMS;Alerta Brasil,SINESP Cidadão,SINESP Integração,SINESP VDE,governos estaduais e municipais,seguradoras,TMS,ERP;"Base nacional de dados criminais que inclui roubo de carga como indicador estratégico; integração com sistemas de rastreamento de cargas (TMS, ANTT) permitiria alertas proativos de rotas de risco.";
1. Tráfego em Tempo Real;SINESP Cidadão;;Aplicativo do SINESP que permite ao cidadão consultar restrições de roubo/furto de veículos, mandados de prisão e desaparecidos. Já ajudou a recuperar mais de 168 mil veículos roubados.;Senasp (Secretaria Nacional de Segurança Pública, MJSP) e Serpro;Federal;https://www.gov.br/pt-br/apps/sinesp-cidadao;SINESP,Alerta Brasil,RENAEST;Cidadãos,aplicativos de mobilidade,TMS,ERP;"Ferramenta de consulta pública que democratiza acesso a dados de segurança; integração com apps de logística (TMS, Waze) permitiria validação de veículos antes da contratação de frete.";
1. Tráfego em Tempo Real;RENAEST;Registro Nacional de Acidentes e Estatísticas de Trânsito;Sistema de registro, gestão e controle de dados estatísticos sobre acidentalidade no trânsito, integrado ao RENAVAM, RENACH e RENAINF. Novo modelo (2024) prevê coleta por aplicativo de fiscalização da SENATRAN.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://www.gov.br/transportes/pt-br/assuntos/noticias/2024/03/novo-modelo-para-o-registro-nacional-de-estatisticas-e-sinistros-de-transito-entra-em-fase-de-testes;RENAVAM,RENACH,RENAINF,Alerta Brasil,Sistema de Fiscalização Eletrônica,DETRANs estaduais,PRF,SINESP,CT-e,MDF-e;SENATRAN,DNIT,ANTT,Alerta Brasil,SINESP,seguradoras,TMS,ERP,sistemas de planejamento urbano;"Base nacional de sinistros de trânsito com dados incompletos (22% dos campos não informados); integração com dados de CT-e/MDF-e permitiria correlação entre padrões de acidentes e rotas de transporte de cargas.";
1. Tráfego em Tempo Real;SINESP VDE;;Sistema para coleta, consolidação e validação de 28 indicadores de segurança pública (incluindo roubo de carga), com dados informados pelos estados em até 30 dias.;Senasp (Secretaria Nacional de Segurança Pública, MJSP);Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/estatistica;Estados (28 indicadores de segurança pública),SINESP PPE;SINESP,SINESP Integração,governos estaduais e municipais,Alerta Brasil;"Consolida indicadores de roubo de carga e morte no trânsito; integração com sistemas de transporte permitiria análise preditiva de risco por corredor logístico.";
1. Tráfego em Tempo Real;SINESP Integração;;Solução para consolidação de dados de múltiplas fontes (Sinesp e outros sistemas) em uma única Base Nacional, permitindo análise de microdados e produção de estatísticas.;Senasp (Secretaria Nacional de Segurança Pública, MJSP);Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/estatistica;SINESP,SINESP VDE,SINESP PPE,outros sistemas de segurança pública;SINESP,governos estaduais e municipais,pesquisadores,Alerta Brasil;Base consolidada de microdados criminais que poderia ser cruzada com dados de fluxo de cargas para mapeamento de áreas de risco.;
1. Tráfego em Tempo Real;SINESP PPE;;Boletim Nacional de Ocorrências Policiais em formato eletrônico, com coleta integral de dados em tempo real a partir de 2014.;Senasp (Secretaria Nacional de Segurança Pública, MJSP);Federal;https://www.gov.br/mj/pt-br/assuntos/sua-seguranca/seguranca-publica/estatistica;Polícias estaduais e federais,delegacias;SINESP,SINESP VDE,SINESP Integração,Alerta Brasil,governos estaduais;"Fonte primária de dados de ocorrências policiais; integração com sistemas de transporte permitiria identificação de padrões de criminalidade em rotas logísticas.";
3. Infraestrutura Viária;CNH do Brasil;Carteira Nacional de Habilitação;Plataforma digital unificada que substitui a CDT, permitindo acesso à CNH digital, solicitação de primeira habilitação e consulta de pontuação pelo aplicativo.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://www.gov.br/transportes/pt-br/cnh-do-brasil;RENACH,RENAINF,RENAEST,DETRANs estaduais,SENATRAN;Alerta Brasil,InfraBR,CT-e,MDF-e,RNTRC,TMS,ERP,MOPP,SEST/SENAT;Base digital nacional de habilitação que deveria ser integrada ao RNTRC e ao validador CT-e para verificação automática de qualificação do motorista.;
3. Infraestrutura Viária;RENACH;Registro Nacional de Carteiras de Habilitação;Base nacional de dados de condutores habilitados, integrada ao RENAEST e ao Alerta Brasil.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/renach;DETRANs estaduais,CNH do Brasil,SENATRAN,MOPP,SEST/SENAT;Alerta Brasil,RENAEST,RENAINF,CT-e,MDF-e,RNTRC,TMS,ERP,InfraBR;Base cadastral de condutores que deveria ser consultada em tempo real para validação de MOPP e outras qualificações no CT-e.;
3. Infraestrutura Viária;RENAINF;Registro Nacional de Infrações;Base nacional de infrações de trânsito, integrada ao RENAEST e ao Alerta Brasil.;SENATRAN (Secretaria Nacional de Trânsito, MT);Federal;https://www.gov.br/transportes/pt-br/assuntos/transito/conteudo-Senatran/renainf;Sistema de Fiscalização Eletrônica,DETRANs estaduais,PRF,Alerta Brasil;RENACH,RENAEST,Alerta Brasil,SINESP,seguradoras,TMS,ERP;Dados de infrações que poderiam ser usados para precificação de seguros e avaliação de risco de condutores em operações de transporte.;
5. Frete e Logística;SEST SENAT;;Instituição que oferece cursos de capacitação para profissionais do transporte, incluindo MOPP, eficiência energética, reciclagem e cursos especializados para mototaxistas e motofretistas.;SEST SENAT (Sistema Transporte, CNT);Privado (entidade do Sistema S);https://digital.sestsenat.org.br/login;RNTRC,RENACH,RENAVAM,ANTT,SENATRAN,empresas de transporte;MOPP,RENACH,RNTRC,certificações de motoristas,TMS,empresas de transporte;"Principal formador de mão de obra qualificada do setor; dados de certificação deveriam ser integrados ao RENACH e ao RNTRC para validação automática de habilitação profissional.";
5. Frete e Logística;SENAT;Serviço Nacional de Aprendizagem do Transporte;Entidade de educação profissional do setor de transporte que oferece cursos técnicos e de qualificação para motoristas e trabalhadores do setor.;SENAT (Sistema Transporte, CNT);Federal;https://digital.sestsenat.org.br/login;RNTRC,RENACH,RENAVAM,ANTT,SENATRAN,empresas de transporte;MOPP,RENACH,RNTRC,CT-e,MDF-e,TMS,ERP,empresas de transporte;"Formador de condutores especializados; certificações emitidas deveriam alimentar base nacional de qualificação profissional do transporte.";
3. Infraestrutura Viária;DETRAN estaduais;Departamento Estadual de Trânsito;Departamentos estaduais de trânsito responsáveis por licenciamento veicular, emissão de CRLV, registro de veículos e aplicação de infrações estaduais.;DETRAN de cada estado;Estadual;Varia por estado (ex: https://www.detran.sp.gov.br/);RENAVAM,RENACH,RENAINF,CRLV-e,Sistema de Multas Estaduais,SENATRAN;RENAVAM,RENACH,RENAINF,CRLV-e,Sistema de Multas Estaduais,Alerta Brasil,SINESP,RENAEST;Gestores do RENAVAM estadual que deveriam integrar dados de licenciamento e infrações a uma plataforma nacional unificada de veículos.;
3. Infraestrutura Viária;CRLV-e;Certificado de Registro e Licenciamento de Veículo Eletrônico;Documento eletrônico de licenciamento veicular emitido pelos DETRANs estaduais.;SENATRAN e DETRANs estaduais;Estadual + Federal;Varia por estado;DETRANs estaduais,RENAVAM,SENATRAN;CT-e,MDF-e,SPED,Alerta Brasil,InfraBR,TMS,ERP;Documento de licenciamento que deveria ser validado automaticamente no CT-e para garantir que o veículo está regular.;
3. Infraestrutura Viária;Sistema de Multas Estaduais;;Sistemas estaduais de registro e pagamento de infrações de trânsito, operados pelos DETRANs.;DETRAN estaduais;Estadual;Varia por estado;Sistema de Fiscalização Eletrônica,DETRANs estaduais,PRF;RENACH,RENAINF,RENAEST,SINESP,Alerta Brasil;"Dados de infrações estaduais dispersos; consolidação nacional permitiria análise de comportamento de risco de condutores de cargas.";
5. Frete e Logística;Licença da Polícia Federal;;Autorização da Polícia Federal para transporte de produtos controlados (armas, munições, explosivos, drogas precursores químicos).;Polícia Federal (PF);Federal;https://www.gov.br/pf/pt-br;Polícia Federal,SIGMA/Exército,CT-e,MDF-e;GT,CT-e,MDF-e,SPED,Alerta Brasil,InfraBR;Autorização de segurança pública que deveria estar integrada ao GT do Exército e ao CT-e para rastreamento de cargas sensíveis.;
5. Frete e Logística;Licença da Polícia Civil estadual;;Autorização estadual complementar para transporte de produtos controlados dentro da mesma UF.;Polícias Civis estaduais (supervisão: SSPs estaduais);Estadual;Varia por estado;Polícia Civil estadual,SIGMA/Exército,CT-e;GT,CT-e,MDF-e,SPED,Alerta Brasil;Autorização estadual que deveria ser consultada automaticamente em operações interestaduais de cargas controladas.;
5. Frete e Logística;CRA;Certificado de Regularidade Ambiental;Certificado de Regularidade Ambiental (CR) — emitido automaticamente pelo próprio inscrito no sistema CTF/APP do IBAMA, comprova conformidade com as obrigações dos Cadastros Técnicos Federais. Validade de 3 meses. Exigido em licitações, licenciamentos estaduais, financiamentos de bancos públicos e contratos de transporte de produtos perigosos. Condição prévia para emissão da AATIPP e do CNORP.;IBAMA;Federal;https://www.gov.br/ibama/pt-br;CTF/APP (inscrição ativa, atividades declaradas, porte econômico),RAPP entregue dentro do prazo,ausência de pendências junto ao IBAMA,dados de licenças ambientais vinculadas;AATIPP (pré-requisito),CNORP (pré-requisito para operadores de resíduos perigosos),processos de licitação federal e estadual,licenciamentos ambientais estaduais,financiamentos BNDES/CEF,contratos de transporte de produtos perigosos,TMS,ERP;Certificação ambiental que deveria ser validada automaticamente no CTF e no MTR para liberação de operações de resíduos.;
5. Frete e Logística;CNORP;Cadastro Nacional de Operadores de Resíduos Perigosos;Cadastro Nacional de Operadores de Resíduos Perigosos (CNORP) — instrumento da PNRS (Lei 12.305/2010), regulamentado pela IN IBAMA nº 01/2013. Obrigatório para pessoas jurídicas que geram ou operam com resíduos perigosos em qualquer fase (segregação, acondicionamento, transporte, armazenagem, tratamento, destinação). Integrado ao CTF/APP, CTF/AIDA e SINIR. Os dados são extraídos pelo IBAMA dos próprios instrumentos de controle (RAPP, CTF).;IBAMA;Federal;https://www.gov.br/ibama/pt-br;CTF/APP (pré-requisito: inscrição ativa do operador),CRA (Certificado de Regularidade válido),RAPP (dados declaratórios anuais sobre resíduos gerados, transportados, armazenados e destinados),declarações das empresas operadoras;MTR/SINIR (integração obrigatória),CTF/APP (retroalimentação),IBAMA (fiscalização e controle),órgãos ambientais estaduais,AATIPP (verificação de habilitação),TMS,WMS,ERP das transportadoras e destinadoras de resíduos;Base cadastral de operadores de resíduos que deveria estar integrada ao CTF e ao SINIR para rastreabilidade completa da cadeia de resíduos.;
5. Frete e Logística;FISPQ;Ficha de Informações de Segurança de Produto Químico;Documento técnico com informações sobre riscos à saúde, métodos de contenção de vazamentos e EPIs necessários para produtos químicos.;Fabricantes e importadores (norma ABNT NBR 14725);Privado (regulado por normas ABNT);Não aplicável (documento do produto);Fabricantes, importadores,dados técnicos do produto;CT-e (produtos perigosos),DGD,PAE,TMS,WMS,ERP,equipes de emergência;Informação técnica que deveria estar digitalmente vinculada ao CT-e de produtos perigosos para acesso rápido em emergências.;
5. Frete e Logística;PAE;Plano de Atendimento a Emergências;Plano obrigatório para transporte de produtos perigosos, detalhando ações em caso de acidentes, vazamentos ou emergências.;Empresas transportadoras (regulado pela ANTT);Privado (regulado federalmente);Não aplicável (documento da empresa);Empresas transportadoras,ANTT,FISPQ,DGD;CT-e,MDF-e,Alerta Brasil,Bombeiros,PRF,equipes de resgate;Plano de emergência que deveria estar acessível digitalmente às equipes de resgate (Bombeiros, PRF) via integração com CT-e/MDF-e.;
5. Frete e Logística;CTPP;Certificado para o Transporte de Produtos Perigosos;Certificado que atesta o projeto e a fabricação do equipamento de transporte a granel de produtos perigosos.;Organismos credenciados pelo INMETRO;Privado (regulado pelo INMETRO);https://www.gov.br/inmetro/pt-br;INMETRO,organismos credenciados,dados técnicos do equipamento;RENAVAM,CT-e,MDF-e,SPED,ANTT (fiscalização),Alerta Brasil;Certificação técnica de equipamentos que deveria estar integrada ao RENAVAM para validação automática de condições do veículo.;
5. Frete e Logística;CSV;Certificado de Segurança Veicular;Certificado exigido para veículos que sofreram alterações estruturais, comprovando segurança para transporte de produtos perigosos.;Organismos credenciados pelo INMETRO;Privado (regulado pelo INMETRO);https://www.gov.br/inmetro/pt-br;INMETRO,organismos credenciados,dados de alterações estruturais;RENAVAM,CT-e,MDF-e,SPED,ANTT (fiscalização),Alerta Brasil;Laudo técnico que deveria ser digitalizado e vinculado ao registro do veículo no RENAVAM para consulta em fiscalizações.;
5. Frete e Logística;Sealog;;Sistema de monitoramento de navios e agendamento de chegada de cargas ao Porto de Santos, integrado à PRF via acordo de compartilhamento de dados.;Autoridade Portuária de Santos (SPA);Federal + Privado;https://www.portodesantos.com.br/;Porto de Santos,navios,cargas,VTS/VTMIS,Alerta Brasil;Alerta Brasil,VTS/VTMIS,Portolog,PORT.NET,exportadores,TMS,WMS,ERP;"Sistema portuário que compartilha dados com a PRF (Alerta Brasil); modelo de integração público-privada que poderia ser replicado em outros portos brasileiros.";
1. Tráfego em Tempo Real;Google Maps;;Plataforma global de navegação com dados de tráfego em tempo real, rotas otimizadas e estimativas de tempo de percurso.;Google (Alphabet);Privado;https://maps.google.com;CET-SP,CTTU-Recife,Waze,DNIT (SNV),SPTrans (Olho Vivo),Alerta Brasil,InfraBR;Waze,Moovit,CittaMobi,SP Pass,TMS,ERP,aplicativos de logística;"Pode alimentar e consumir dados de tráfego de órgãos municipais e federais; potencial integrador de dados de congestionamento, obras e acidentes em escala nacional.";
1. Tráfego em Tempo Real;Waze;;"Aplicativo de navegação com dados de tráfego em tempo real; parcerias com CET-SP e CTTU-Recife.";Google LLC (Waze);Privado + Municipal;https://www.waze.com;CET-SP,CTTU-Recife,Google Maps;Google Maps,Moovit,CittaMobi,SP Pass,TMS,ERP;"Modelo de parceria público-privada para compartilhamento de dados de tráfego; pode ser replicado nacionalmente.";
1. Tráfego em Tempo Real;Câmeras CET-SP;;Sistema de câmeras de monitoramento de trânsito disponibilizadas em tempo real ao público.;CET-SP;Municipal;https://cetsp1.cetsp.com.br;Sem entrada de dados externos (captação própria);Waze,Google Maps,Alerta Brasil,SPTrans (Olho Vivo),InfraBR;"Fonte primária de dados de tráfego municipal; integração em rede nacional exigiria padronização de APIs entre CETs.";
1. Tráfego em Tempo Real;Câmeras CTTU-Recife;;Sistema de câmeras de monitoramento da Companhia de Trânsito e Transporte Urbano de Recife.;CTTU-Recife;Municipal;https://cttu.recife.pe.gov.br;Sem entrada de dados externos (captação própria);Waze,Google Maps,Alerta Brasil;Dados municipais de tráfego que, se padronizados, poderiam compor um painel nacional de condições viárias.;
1. Tráfego em Tempo Real;Monitoramento de Vídeo do Metrô;;Câmeras em tempo real nos trens e estações do Metrô de São Paulo.;Companhia do Metropolitano de SP (Metrô-SP) e concessionárias (ViaQuatro, ViaMobilidade);Estadual (concessão);https://www.metro.sp.gov.br;GPS dos trens,Bilhete Único,sensores de ocupação,Monitoramento de Vídeo do Metrô;Olho Vivo SPTrans,SP Pass,CCO/COR,sistemas de planejamento urbano,MaaS;Dados de ocupação e fluxo de passageiros que poderiam integrar um sistema nacional de mobilidade urbana multimodal.;
1. Tráfego em Tempo Real;Olho Vivo SPTrans;;Sistema de monitoramento e localização em tempo real da frota de ônibus de São Paulo.;SPTrans;Municipal;https://olhovivo.sptrans.com.br;GPS dos ônibus,Bilhete Único (dados de embarque);CittaMobi,Moovit,SP Pass,Google Maps,Waze,MaaS,plataformas de transporte público;Padrão GTFS e dados abertos da SPTrans podem servir como modelo para padronização nacional de dados de transporte público.;
1. Tráfego em Tempo Real;Sistema de Rastreamento Veicular ANTT;;Dispositivo de identificação eletrônica de veículos inscritos no RNTRC.;ANTT;Federal;https://www.antt.gov.br;RNTRC,RENAVAM,RENACH,Alerta Brasil;InfraBR,Alerta Brasil,TMS,ERP,sistemas de segurança privada;"Base federal de rastreamento de veículos de carga; dados poderiam ser compartilhados com estados e municípios.";
1. Tráfego em Tempo Real;InfraBR;;Aplicativo com geolocalização do motorista para fiscalização rodoviária federal.;DNIT (Departamento Nacional de Infraestrutura de Transportes, MT);Federal;https://www.gov.br/transportes/pt-br/assuntos/transito/infra-br;RNTRC,RENAVAM,Sistema de Rastreamento Veicular ANTT,MDF-e,Alerta Brasil;MDF-e (encerramento automático via geofencing),Alerta Brasil,SINESP,RENAEST;Sistema federal de geolocalização que poderia integrar dados de MDF-e, RNTRC e postos de pesagem.;
2. Transporte Público;Bilhete Único;;Cartão de pagamento integrado para ônibus, metrô, CPTM e trens privados em São Paulo.;SPTrans (Empresa São Paulo Transporte);Municipal;https://www.sptrans.com.br/bilhete-unico;Olho Vivo (dados de embarque),Metrô/CPTM (dados de validação),SP Pass;Olho Vivo,SP Pass,CittaMobi,Moovit,MaaS,sistemas de planejamento urbano;Modelo de integração tarifária multimodal que poderia ser replicado nacionalmente.;
2. Transporte Público;Olho Vivo SPTrans;;Sistema de monitoramento e localização em tempo real dos ônibus de São Paulo.;SPTrans;Municipal;https://olhovivo.sptrans.com.br;GPS dos ônibus,Bilhete Único;CittaMobi,Moovit,SP Pass,Google Maps,Waze,MaaS,plataformas de transporte público;"Dados abertos de GPS e velocidade dos ônibus; padrão adotado por outras cidades.";
2. Transporte Público;SP Pass;;Aplicativo de mobilidade urbana que integra ônibus, metrô, bike e táxi.;SPTrans e operadores privados credenciados;Municipal + Privado;https://www.sptrans.com.br/sppass;Bilhete Único,Olho Vivo,Metrô/CPTM,Bike Itaú,Uber/99;Bilhete Único,Olho Vivo,MaaS,plataformas de planejamento de viagem;"Conceito de MaaS aplicado localmente; demonstra viabilidade de integração multimodal em escala nacional.";
2. Transporte Público;CittaMobi;;Aplicativo que integra modais do transporte público em São Paulo.;Setor privado (CittaMobi);Privado;https://www.cittamobi.com.br;Olho Vivo (SPTrans),Google Maps,Waze;SP Pass,Moovit,MaaS,usuários finais;"Consumidor de dados abertos governamentais; exemplifica como o setor privado pode criar valor a partir de dados públicos.";
2. Transporte Público;Moovit;;Planejador global de transporte público com horários em tempo real.;Moovit (Intel);Privado;https://moovitapp.com;Olho Vivo (SPTrans),Google Maps,Waze,GTFS de municípios;SP Pass,CittaMobi,MaaS,usuários finais;"Plataforma global que consome dados locais; depende de padronização de feeds de dados municipais.";
2. Transporte Público;BRT;Bus Rapid Transit;Sistema de transporte rápido por ônibus com faixas exclusivas.;Prefeituras municipais;Municipal;Varia por cidade;GPS dos ônibus,sensores de contagem de passageiros,Bilhete Único local,GTFS;Google Maps,Moovit,CittaMobi,Olho Vivo,sistemas de planejamento urbano,MaaS;Infraestrutura de transporte coletivo que gera dados de demanda e velocidade.;
2. Transporte Público;Metrô CPTM e VLT SP;;Sistemas de transporte ferroviário urbano e suburbano.;Governo do Estado de SP e concessionárias (ViaQuatro, ViaMobilidade, ViaOeste);Estadual + Privado;https://www.metro.sp.gov.br;Bilhete Único (validação),Monitoramento de Vídeo (CCO/CCS);Bilhete Único,SP Pass,Olho Vivo,MaaS,sistemas de planejamento urbano;Dados de fluxo de passageiros que, se integrados, permitiriam análise de demanda em nível nacional.;
2. Transporte Público;Citybus 2.0;;Sistema de transporte público inteligente com monitoramento em tempo real.;Prefeitura de Goiânia;Municipal;https://www.goiania.go.gov.br;GPS dos ônibus,Bilhete Único local;Google Maps,Waze,Moovit,plataformas de transporte público;Exemplo de municipalidade com sistema próprio de TI para transporte.;
